Year,ISO Code,Countries,Government consumption,Government investment,Size of Government,Regulatory trade barriers,Financial openness,Controls of the movement of capital and people,Credit market regulations,Hiring regulations and minimum wage,Freedom to enter markets and compete,Regulation
2021,SOM,Somalia,10.0,,8.84,2.53,0.0,3.13,,7.5,6.02,4.2
2021,SRB,Serbia,5.78,5.08,5.87,8.19,5.44,5.82,8.72,3.62,6.48,6.83
2021,SUR,Suriname,6.36,7.84,6.27,6.31,3.32,2.14,7.32,6.53,6.58,6.28
2021,SVK,Slovak Republic,3.73,9.57,6.22,8.39,8.43,6.69,8.7,5.28,6.46,7.09
2021,SVN,Slovenia,3.3,7.71,4.81,8.56,8.5,6.67,7.73,3.62,6.54,6.81
2021,SWE,Sweden,0.86,8.97,4.73,8.6,10.0,7.68,9.33,6.35,8.19,7.83
2021,SWZ,Eswatini,5.08,0.0,5.17,3.09,0.82,1.36,8.48,4.45,3.81,5.52
2021,SYC,Seychelles,0.0,10.0,6.38,6.63,8.75,5.99,5.0,6.95,8.14,6.78
2021,SYR,Syrian Arab Republic,6.82,0.61,5.48,4.59,0.19,0.88,3.38,7.37,2.91,3.47
2021,TCD,Chad,10.0,1.01,7.35,2.62,2.07,1.65,7.33,3.75,4.8,4.63
2021,TGO,Togo,7.3,3.35,6.76,4.15,4.57,3.21,8.33,3.33,6.87,6.43
2021,THA,Thailand,4.15,6.33,6.86,7.29,5.84,3.4,8.69,6.53,7.8,6.63
2021,TJK,Tajikistan,7.99,0.0,5.86,5.47,3.4,3.27,8.49,6.53,6.71,6.21
2021,TLS,Timor-Leste,0.0,4.91,5.43,4.84,5.81,4.49,2.0,3.62,6.23,5.15
2021,TTO,Trinidad and Tobago,6.0,,6.83,5.82,7.34,5.38,5.0,7.5,6.81,6.0
2021,TUN,Tunisia,5.26,4.67,5.17,6.59,3.32,2.33,6.83,4.3,5.8,5.77
2021,TUR,Türkiye,6.14,10.0,6.65,8.05,4.23,3.3,6.2,5.28,7.35,5.71
2021,TWN,Taiwan,4.93,9.89,7.69,8.12,7.5,5.17,8.0,6.05,8.37,7.69
2021,TZA,Tanzania,7.95,2.3,5.98,2.28,3.32,2.46,8.44,5.28,6.93,6.53
2021,UGA,Uganda,8.21,5.48,7.02,4.67,7.5,5.46,6.23,7.5,6.46,6.32
2021,UKR,Ukraine,5.69,8.15,7.26,6.22,2.5,1.59,6.11,4.03,5.91,5.36
2021,URY,Uruguay,5.25,7.1,6.39,5.98,8.75,6.22,7.04,5.7,7.16,6.66
2021,USA,United States,6.64,9.86,7.13,8.4,10.0,5.61,7.41,9.45,9.86,8.29
2021,VEN,"Venezuela, RB",9.19,0.0,4.65,2.19,0.31,0.51,3.33,2.72,2.29,2.17
2021,VNM,Vietnam,7.42,6.87,6.53,5.56,4.59,2.89,9.16,7.63,5.57,6.1
2021,YEM,"Yemen, Rep.",8.75,10.0,8.35,5.69,7.31,4.52,0.0,8.2,3.54,3.08
2021,ZAF,South Africa,4.66,5.3,5.95,5.57,3.61,2.78,7.54,5.28,5.81,6.35
2021,ZMB,Zambia,1.68,7.3,6.13,2.63,6.25,4.54,7.71,1.67,3.49,4.89
2021,ZWE,Zimbabwe,6.89,1.21,5.08,2.92,3.34,1.32,6.0,4.58,3.36,4.54
